Name,Rating,Price Range,Location,Delivery Options
Olympia Coffee House,4.4,₹200–400,"MughlaiRahim Mansion, 1, Shahid Bhagat Singh RdClosed ⋅ Opens 7 amLow-key joint for non-veg Indian eats",No-contact delivery
McDonald's,4.3,₹200–400,"Fast FoodUnit No 11, Sumit Artista, near Central PlazaCloses soon ⋅ 1 amIconic fast-food burger & fries chain",No-contact delivery
RM Restaurant,4.0,₹200–400,"Food courtRM Restaurant, Air India RdClosed ⋅ Opens 9 amDine-in",TakeawayDelivery
Mubarak Restaurant,4.2,₹200–400,"Indiannear Shivaji Kuthir Mandal, E-13, Lal Bahadur Shastri MargClosed ⋅ Opens 6 amDine-in",Drive-throughNo-contact delivery
Tuki Asian,4.6,₹600–800,"AsianUnit 3, 22-24, Ground Floor, Swastik Industrial Estate, CST RoadClosed ⋅ Opens 12 pmDine-in",TakeawayNo-contact delivery
Taki Taki,4.3,"₹2,000+","JapaneseUnit No.1A & 1B, Lodha, World Crest, Senapati Bapat MargCloses soon ⋅ 1 amDine-in",Kerbside pickup
Lucky Hotel,4.0,₹1–200,"North IndianKurla Road, oppossite Jeri Mari Bustop, Near Har MasjidCloses soon ⋅ 1 amDine-in",TakeawayNo-contact delivery
Kangan,4.5,"₹2,000+","North IndianInternational Business Park, The Westin Mumbai Garden City, International Business Park, Oberoi Garden City, 35-A, Aba Karmarkar RdClosed ⋅ Opens 7 pmUpscale Indian restaurant in a hotel",No-contact delivery
Masala Kraft,4.5,"₹2,000+",IndianThe Taj Mahal Palace HotelTemporarily closedLegendary North Indian fare in the Taj,No-contact delivery
Sea Lounge,4.4,"₹2,000+",ItalianThe Taj Mahal Palace HotelClosed ⋅ Opens 7 amElegant hotel parlour for bites & drinks,No-contact delivery
Maroosh,3.8,₹400–600,"LebaneseUnit S - 4, 34a, Lal Bahadur Shastri MargTemporarily closed""Good ambience and happening place.""",No-contact delivery
Cafe Gulshan,4.1,₹1–200,Fast FoodBKC CST Link RdCloses soon ⋅ 12:45 amDine-in,Drive-throughNo-contact delivery
Seasonal Tastes,4.3,"₹2,000+","BuffetInternational Business Park, 18th Floor, International Business Park, Oberoi Garden City, Goregaon EastClosed ⋅ Opens 6:30 am18th-floor global restaurant at a hotel",No-contact delivery
Raj Kamal Bar And Restaurant,3.6,₹400–600,"Bar3V9H+VMJ, SG Barve MargClosed ⋅ Opens 10 amDine-in",Drive-through
Chinese Wok,3.7,₹200–400,"ChineseUnit S - 12, Lal Bahadur Shastri MargClosed ⋅ Opens 11 amDine-in",TakeawayDelivery
Dashanzi,4.6,"₹2,000+","AsianJW Marriott, Jw Marriott Mumbai Juhu, Juhu Tara RdCloses soon ⋅ 1 amSleek hotel eatery with water views",No-contact delivery
Famous South Indian Cafe,4.7,₹1–200,South IndianDine-in,Takeaway
Konkan Cafe,4.4,"₹2,000+","South IndianPresident, Mumbai - IHCL SeleQtions 90Closed ⋅ Opens 12:30 pmUpmarket hotel venue for Konkan cuisine",No-contact delivery
Al-Baik.com,0.3,₹200–400,"Fast FoodMagan Nathuram Rd, Jarimari, Saki Naka, Mumbai, Maharashtra 400047Closed ⋅ Opens 12 pmDine-in",Drive-throughNo-contact delivery
Thai Pavilion,4.8,"₹2,000+","ThaiPresident, Mumbai - IHCL SeleQtions 90Closed ⋅ Opens 12:30 pmUpscale hotel bistro for Thai cuisine",No-contact delivery
Taco Bell,4.0,₹200–400,"MexicanPhoenix Marketcity Mall, Unit No.S-22, 2nd Floor, Lal Bahadur Shastri MargClosed ⋅ Opens 11 amDine-in",TakeawayNo-contact delivery
Sagar Restaurant,3.6,₹1–200,"Fast Food3V8H+MMX, Kurla W Sta RdClosed ⋅ Opens 6 amDine-in",TakeawayDelivery
eat.fit,0.2,₹200–400,"Health Food11/13, ground floor, Old caprihans building, Khushiram industrial estate,kamaniClosed ⋅ Opens 11 amDine-in",TakeawayNo-contact delivery
Cafe.,2.0,₹200–400,"Fast FoodChhatrapati Shivaji Maharaj International Airport Mumbai, Terminal 2Dine-in",Takeaway
Afzal Mao Restaurant,4.0,₹200–400,"North Indian58-C, Carnac RdClosed ⋅ Opens 12 pmDine-in",TakeawayNo-contact delivery
Hammer & Song,4.5,"₹2,000+","BarShop No. 10, The Arcade, World Trade Centre, Cuffe ParadeCasual spot for cocktails & pub fare",No-contact delivery
Fumi,4.5,"₹2,000+","Pan AsianHotel Sahara Star, opp. Domestic Airport RoadClosed ⋅ Opens 7:30 pmDine-in",No-contact delivery
ARMANI / CAFFĒ,4.1,"₹2,000+","Fine DiningLevel 1, Jio World Plaza, G Block RdClosed ⋅ Opens 12 pmDine-in",No-contact delivery
Domino's Pizza,3.5,₹200–400,"PizzaKanakia Zillion, Shop No 2, Ground, Lal Bahadur Shastri MargClosed ⋅ Opens 11 amLongtime pizza chain known for delivery",No-contact delivery
Rosh & Ron,4.2,₹200–400,Chinese2/344Closes soon ⋅ 1 amDine-in,TakeawayNo-contact delivery
Cafe Bharat,4.1,₹200–400,VegetarianJangal Mangal RdClosed ⋅ Opens 7:30 amVegetarian multi-cuisine diner,No-contact delivery
Colaba Restaurant,3.9,₹1–200,"SeafoodWR9H+46G, Lala Nigam RdClosed ⋅ Opens 12 pmDine-in",TakeawayNo-contact delivery
Hotel Girish,4.1,₹200–400,"IndianShop no. 19, Irani Chawl, Gokhale Rd SClosed ⋅ Opens 11:30 amDine-in",Kerbside pickupNo-contact delivery
Not Just Tamasha,4.0,"₹2,000+","LoungeUnit no 1A & 1B, Victoria House, Pandurang Budhkar MargDine-in",TakeawayNo-contact delivery
